date,open,high,low,close,volume,oi
2025-04-23,417.9,421.4,405.85,413.35,701925,0
2025-04-24,412.5,420.3,407.75,414.6,1180928,0
2025-04-25,415.05,432.75,410.35,416.5,4089576,0
2025-04-28,411.15,418.85,404.05,416.55,793630,0
2025-04-29,417.0,426.55,412.55,422.1,755528,0
2025-04-30,422.35,441.6,397.2,405.95,3442275,0
2025-05-02,403.95,420.35,403.95,413.8,882979,0
2025-05-05,415.8,419.45,409.7,416.0,410308,0
2025-05-06,416.0,423.6,395.1,397.55,699538,0
2025-05-07,397.55,406.4,395.1,399.75,624207,0
2025-05-08,404.75,408.2,387.3,391.7,532864,0
2025-05-09,385.8,388.75,378.0,383.8,530352,0
2025-05-12,403.95,403.95,396.55,402.85,424718,0
2025-05-13,399.05,409.5,399.05,404.95,684221,0
2025-05-14,408.55,409.4,403.5,406.5,470755,0
2025-05-15,408.7,411.55,403.85,409.1,413561,0
2025-05-16,407.35,425.75,405.85,424.55,1041257,0
2025-05-19,424.3,434.8,415.65,421.7,1345688,0
2025-05-20,423.2,434.05,416.55,420.5,1388755,0
2025-05-21,420.25,425.95,413.6,424.75,637801,0
2025-05-22,424.35,424.35,407.1,409.25,628934,0
2025-05-23,406.8,423.8,406.8,415.65,980959,0
2025-05-26,419.7,423.65,417.5,419.9,542011,0
2025-05-27,420.4,424.1,403.85,405.2,1124570,0
2025-05-28,407.5,414.25,399.0,400.95,1403689,0
2025-05-29,403.0,405.55,396.1,397.8,608722,0
2025-05-30,396.15,404.7,388.3,400.55,1652374,0
2025-06-02,398.45,401.3,395.1,397.45,432306,0
2025-06-03,399.35,400.35,390.75,392.9,442394,0
2025-06-04,394.55,396.95,386.35,388.15,717133,0
2025-06-05,387.8,399.65,387.3,388.1,905239,0
2025-06-06,389.7,393.55,385.85,389.0,744558,0
2025-06-09,391.15,399.85,390.8,396.9,878346,0
2025-06-10,399.8,401.4,394.35,398.5,543581,0
2025-06-11,400.85,413.25,390.75,393.95,3231660,0
2025-06-12,393.75,397.8,382.4,383.45,822487,0
2025-06-13,376.6,382.85,373.8,381.0,749968,0
2025-06-16,382.9,383.25,370.85,376.55,561205,0
2025-06-17,375.65,380.45,368.05,369.2,804452,0
2025-06-18,371.25,372.3,360.05,361.45,734399,0
2025-06-19,363.4,370.5,358.15,361.0,711755,0
2025-06-20,362.0,369.25,358.6,367.05,861673,0
2025-06-23,363.0,367.95,363.0,366.35,360294,0
2025-06-24,368.8,376.6,368.8,370.8,1890058,0
2025-06-25,372.25,393.55,372.25,374.35,3336076,0
2025-06-26,376.6,381.0,369.05,371.3,951678,0
2025-06-27,374.65,378.05,372.8,376.25,682155,0
2025-06-30,378.4,378.4,371.25,374.8,804904,0
2025-07-01,375.65,379.2,370.3,371.65,700395,0
2025-07-02,372.7,373.6,367.0,369.4,599697,0
2025-07-03,370.6,370.7,366.9,367.3,893283,0
2025-07-04,367.85,371.5,366.9,369.75,371809,0
2025-07-07,370.2,370.55,366.25,368.25,495890,0
2025-07-08,368.35,369.75,363.45,364.65,462273,0
2025-07-09,363.4,365.6,360.55,362.5,657429,0
2025-07-10,364.75,368.25,363.65,366.75,469998,0
2025-07-11,365.3,367.4,362.05,365.2,493638,0
2025-07-14,365.7,373.05,363.95,372.55,1154248,0
2025-07-15,373.1,377.5,371.8,374.95,1214002,0
2025-07-16,374.95,387.5,373.85,382.75,1281867,0
2025-07-17,383.05,384.35,375.15,376.45,469513,0
2025-07-18,376.6,378.9,370.75,372.25,491665,0
2025-07-21,370.9,372.65,367.95,370.7,466377,0
2025-07-22,372.65,378.15,369.05,373.5,581369,0
2025-07-23,372.6,373.85,369.05,370.4,235454,0
2025-07-24,370.75,374.5,369.1,370.95,246558,0
2025-07-25,370.95,371.7,362.65,363.6,302760,0
2025-07-28,365.8,366.85,359.1,360.5,288112,0
2025-07-29,363.0,364.45,358.0,361.5,297443,0
2025-07-30,363.95,380.35,363.95,371.7,3253435,0
2025-07-31,370.75,384.05,366.8,381.6,2141966,0
2025-08-01,385.3,385.35,371.75,373.5,491653,0
