date,open,high,low,close,volume,oi
2025-04-02,69.39,70.29,68.61,69.97,1545236,0
2025-04-03,70.0,71.87,68.0,71.31,4205250,0
2025-04-04,71.36,71.9,69.35,69.74,2599675,0
2025-04-07,67.89,67.99,65.48,67.61,2813944,0
2025-04-08,68.96,69.9,68.0,69.52,1576393,0
2025-04-09,67.45,69.7,67.45,67.83,5132026,0
2025-04-11,69.49,69.49,68.06,68.7,1158437,0
2025-04-15,70.0,71.98,69.16,69.56,2801491,0
2025-04-16,69.8,71.49,69.54,71.39,4817046,0
2025-04-17,71.47,72.89,69.98,72.47,7806883,0
2025-04-21,73.0,74.62,72.4,74.18,6823249,0
2025-04-22,74.6,76.05,74.04,74.65,6807150,0
2025-04-23,74.71,75.48,73.39,74.29,6088365,0
2025-04-24,74.29,74.97,74.01,74.14,3050071,0
2025-04-25,74.41,74.6,71.76,72.61,3569552,0
2025-04-28,74.79,74.79,71.81,74.23,2209674,0
2025-04-29,74.99,75.97,74.2,74.42,3774872,0
2025-04-30,74.41,74.46,72.5,72.77,2006194,0
2025-05-02,72.84,73.59,72.37,72.8,1307738,0
2025-05-05,72.97,73.26,72.1,72.86,1121417,0
2025-05-06,72.9,73.76,69.16,69.36,4135631,0
2025-05-07,69.27,70.31,68.18,69.55,2012615,0
2025-05-08,70.0,70.09,68.2,68.43,2415024,0
2025-05-09,68.43,69.66,66.59,69.51,2394259,0
2025-05-12,70.52,72.08,70.52,71.97,7619472,0
2025-05-13,71.97,73.42,71.66,73.1,3603322,0
2025-05-14,73.22,73.75,72.8,73.29,1535449,0
2025-05-15,73.5,73.65,72.9,73.47,2584988,0
2025-05-16,73.67,74.46,73.6,74.09,3299166,0
2025-05-19,74.7,75.85,73.89,74.99,6845128,0
2025-05-20,75.35,75.74,74.12,74.33,8141204,0
2025-05-21,74.33,74.97,73.87,74.81,1676540,0
2025-05-22,74.89,75.11,74.03,74.64,2140533,0
2025-05-23,74.89,75.22,74.52,74.81,2016247,0
2025-05-26,75.18,75.54,74.65,74.86,1104508,0
2025-05-27,75.23,75.25,74.29,75.05,1743293,0
2025-05-28,75.49,76.0,75.1,75.85,3318186,0
2025-05-29,76.0,76.41,75.44,75.85,1955611,0
2025-05-30,75.86,78.58,75.27,78.1,10564112,0
2025-06-02,78.1,80.0,77.95,79.54,14207653,0
2025-06-03,81.52,81.52,78.48,79.32,14394384,0
2025-06-04,77.33,80.0,77.0,79.13,4436482,0
2025-06-05,77.15,79.72,77.14,78.7,3413771,0
2025-06-06,79.96,79.96,78.02,79.09,6369533,0
2025-06-09,80.43,81.24,79.12,80.63,5294635,0
2025-06-10,78.61,81.0,78.61,79.93,3067907,0
2025-06-11,81.92,81.92,78.88,79.24,4040405,0
2025-06-12,77.25,79.78,77.25,78.31,8438419,0
2025-06-13,78.17,78.17,76.0,77.42,4081142,0
2025-06-16,79.0,79.0,76.22,77.66,3148443,0
2025-06-17,75.71,78.55,75.71,77.01,3137303,0
2025-06-18,78.55,78.55,76.1,76.77,1613646,0
2025-06-19,74.85,78.68,74.85,75.2,2622157,0
2025-06-20,75.21,76.92,75.2,76.58,1888098,0
2025-06-23,74.66,77.9,74.66,76.35,1294042,0
2025-06-24,76.35,78.16,74.44,77.41,2498427,0
2025-06-25,77.01,78.99,77.01,77.63,1140044,0
2025-06-26,78.04,78.04,77.03,77.97,1221450,0
2025-06-27,76.02,79.91,76.02,78.49,3409418,0
2025-06-30,77.24,80.59,77.24,80.49,13788203,0
2025-07-01,80.5,81.23,79.6,81.04,6933725,0
2025-07-02,79.01,81.6,79.01,80.36,4343169,0
2025-07-03,78.35,81.36,78.35,79.52,4170699,0
2025-07-04,81.5,81.5,79.29,79.71,1179091,0
2025-07-07,81.7,81.7,79.46,79.5,1339889,0
2025-07-08,80.47,80.47,78.56,79.35,3020820,0
2025-07-09,77.36,79.78,77.36,78.99,1127561,0
2025-07-10,77.01,79.59,77.01,78.4,5415498,0
2025-07-11,77.0,78.85,76.44,78.23,946324,0
2025-07-14,79.47,79.52,78.15,78.88,2229154,0
2025-07-15,78.05,79.95,78.05,79.72,1548632,0
2025-07-16,77.72,81.48,77.72,81.13,6658157,0
2025-07-17,83.15,83.15,80.42,80.57,2259915,0
2025-07-18,80.5,80.99,79.71,79.85,1859206,0
2025-07-21,79.85,80.29,79.0,79.54,1439517,0
2025-07-22,79.51,80.97,78.23,78.33,2185757,0
2025-07-23,78.3,78.82,77.77,78.66,2147303,0
2025-07-24,79.1,79.89,77.99,79.55,1886767,0
2025-07-25,79.5,79.92,77.7,78.15,1972894,0
2025-07-28,77.0,78.78,76.4,77.29,840360,0
2025-07-29,79.22,79.22,75.35,77.66,1517020,0
2025-07-30,79.6,79.6,75.71,77.14,860962,0
2025-07-31,77.14,77.2,75.73,76.54,5606305,0
2025-08-01,76.57,76.92,75.6,75.72,980917,0
2025-08-04,73.82,77.61,73.82,76.56,3912628,0
2025-08-05,76.77,76.93,76.05,76.38,672885,0
2025-08-06,78.28,78.28,74.47,76.71,3764990,0
2025-08-07,76.71,77.1,75.64,76.92,2869903,0
2025-08-08,76.02,77.77,76.02,76.75,1513688,0
2025-08-11,76.02,78.66,76.02,78.56,2625865,0
2025-08-12,77.22,79.02,77.22,78.47,1894590,0
2025-08-13,80.43,80.43,78.19,78.38,1261045,0
2025-08-14,78.77,78.87,78.06,78.44,859225,0
2025-08-18,79.3,79.31,78.52,78.79,1897971,0
2025-08-19,76.82,79.89,76.82,79.45,2444977,0
2025-08-20,77.46,79.67,77.46,79.19,1027628,0
2025-08-21,77.31,79.64,77.31,78.87,741510,0
2025-08-22,80.6,80.6,77.89,77.94,2897854,0
2025-08-25,79.88,79.88,76.8,77.75,964728,0
2025-08-26,76.0,78.1,76.0,76.3,1923715,0
2025-08-28,74.39,76.66,74.39,75.5,2862674,0
2025-08-29,74.61,77.38,74.61,75.21,1093809,0
2025-09-01,76.4,76.4,75.16,76.1,1594780,0
2025-09-02,77.1,77.1,75.11,76.28,645745,0
2025-09-03,75.02,77.5,75.02,77.12,1165688,0
2025-09-04,79.04,79.04,76.15,76.22,1119263,0
2025-09-05,74.31,76.84,74.31,76.27,2479029,0
2025-09-08,75.2,78.0,75.2,76.67,683495,0
2025-09-09,75.21,77.14,75.21,76.59,453300,0
2025-09-10,78.5,78.5,76.02,78.29,1686236,0
2025-09-11,79.0,79.52,76.79,78.79,2321939,0
2025-09-12,78.1,79.6,78.1,78.65,1217984,0
2025-09-15,76.68,79.43,76.68,79.12,1190845,0
2025-09-16,81.09,81.09,78.3,79.41,1118003,0
2025-09-17,78.4,81.69,78.4,81.49,5509432,0
2025-09-18,82.6,82.6,80.6,81.4,3226303,0
2025-09-19,81.36,82.73,81.0,82.38,4495937,0
2025-09-22,82.38,83.2,81.55,82.22,3509187,0
2025-09-23,82.9,83.36,81.51,83.03,2880132,0
2025-09-24,81.8,84.41,81.8,82.88,4445060,0
2025-09-25,82.08,83.38,82.03,82.45,2352876,0
2025-09-26,80.38,83.28,80.33,80.99,3104931,0
2025-09-29,80.25,82.74,80.25,82.53,3706277,0
2025-09-30,82.82,84.2,82.24,83.94,3663783,0
2025-10-01,83.05,84.34,83.02,83.75,3929073,0
2025-10-03,84.6,84.85,82.8,84.66,3192713,0
