date,open,high,low,close,volume,oi
2026-01-05,189.0,191.8,186.05,187.76,17083159,0
2026-01-06,187.85,189.17,184.92,186.15,9072320,0
2026-01-07,186.2,186.83,184.56,186.12,9482575,0
2026-01-08,186.0,186.3,184.01,184.52,9093468,0
2026-01-09,184.1,190.76,183.9,187.76,25410790,0
2026-01-12,189.63,189.65,183.34,187.01,13071854,0
2026-01-13,187.05,187.9,184.05,185.7,6855429,0
2026-01-14,185.21,187.69,184.15,186.89,7446179,0
2026-01-16,185.93,186.66,183.75,184.25,26684199,0
2026-01-19,183.1,188.5,182.34,187.98,10612728,0
2026-01-20,188.93,189.75,179.5,180.79,15758631,0
2026-01-21,179.92,183.2,176.83,181.24,20759934,0
2026-01-22,185.3,191.44,184.53,190.28,20314511,0
2026-01-23,192.0,199.21,190.0,192.98,32467563,0
2026-01-27,192.26,194.15,188.0,193.0,23069013,0
2026-01-28,193.9,196.69,189.46,195.33,20044566,0
2026-01-29,196.4,196.4,191.92,194.06,10560396,0
2026-01-30,192.9,198.0,191.92,196.69,14239171,0
2026-02-01,196.68,198.4,187.5,189.06,6590542,0
2026-02-02,189.77,195.0,185.52,194.4,14956648,0
2026-02-03,203.0,203.0,196.02,199.87,16548292,0
2026-02-04,201.74,205.19,199.05,200.92,22146705,0
2026-02-05,201.25,202.86,200.0,201.5,14809572,0
2026-02-06,201.5,203.0,199.26,201.84,9580410,0
2026-02-09,202.8,206.38,200.79,205.8,9662823,0
2026-02-10,206.7,211.0,204.92,209.73,12114047,0
2026-02-11,210.5,215.42,202.56,206.35,53661132,0
2026-02-12,206.4,212.35,204.63,211.02,36604082,0
2026-02-13,210.12,212.87,203.8,204.63,26832686,0
2026-02-16,204.95,206.89,203.0,205.86,11066053,0
2026-02-17,205.86,208.25,203.86,207.68,7435573,0
2026-02-18,208.5,209.65,207.1,208.34,7339062,0
2026-02-19,208.3,208.61,202.28,203.49,9638504,0
2026-02-20,202.56,209.36,201.81,208.85,14624480,0
2026-02-23,209.76,211.75,208.96,210.76,8533992,0
2026-02-24,209.0,211.02,208.62,210.18,12888307,0
2026-02-25,210.46,213.7,209.63,211.61,13401777,0
2026-02-26,211.65,212.89,210.32,211.92,7744469,0
2026-02-27,211.92,214.1,210.42,211.1,13962660,0
2026-03-02,200.05,212.9,200.05,209.01,17727577,0
2026-03-04,206.8,207.18,197.14,200.46,28728295,0
2026-03-05,201.04,203.99,196.94,203.04,17821008,0
2026-03-06,202.49,202.49,194.12,194.67,23585465,0
2026-03-09,190.45,190.45,182.66,186.94,22595249,0
2026-03-10,191.5,195.17,191.0,193.56,17754507,0
2026-03-11,194.39,195.38,183.88,184.66,28300159,0
2026-03-12,184.66,184.97,177.01,178.47,44243228,0
2026-03-13,176.6,176.6,169.41,170.65,27176714,0
2026-03-16,169.3,174.9,168.7,172.77,21338066,0
2026-03-17,174.0,176.6,171.7,176.11,20890037,0
2026-03-18,176.65,180.01,175.51,178.62,12316122,0
2026-03-19,175.95,175.95,167.89,168.57,19935868,0
2026-03-20,171.08,172.67,166.33,168.89,38794799,0
2026-03-23,167.06,167.06,160.91,161.98,23531787,0
2026-03-24,166.3,168.01,162.3,167.13,16357599,0
2026-03-25,169.87,172.92,169.79,170.95,13077297,0
2026-03-27,170.0,170.0,162.85,163.09,21631702,0
2026-03-30,159.3,160.83,153.56,154.13,51508097,0
2026-04-01,154.15,162.86,148.0,149.11,89347607,0
2026-04-02,147.4,149.14,143.13,148.44,33940797,0
2026-04-06,149.0,151.52,145.15,150.91,23012980,0
2026-04-07,150.0,153.45,146.14,152.93,20832098,0
2026-04-08,165.1,173.16,162.94,172.48,102302775,0
2026-04-09,172.8,174.75,169.01,170.38,34385107,0
2026-04-10,172.9,178.38,172.13,178.02,39293953,0
2026-04-13,172.0,174.0,170.4,172.06,21624635,0
2026-04-15,176.96,179.09,175.0,175.48,21564266,0
2026-04-16,177.8,177.89,174.75,176.73,15255848,0
2026-04-17,177.47,177.47,173.17,174.78,21780071,0
2026-04-20,175.32,177.44,172.79,175.96,11967504,0
2026-04-21,176.0,178.88,175.98,176.61,11828616,0
2026-04-22,176.5,181.39,175.6,178.97,19948964,0
2026-04-23,177.0,177.79,169.25,170.63,33563795,0
2026-04-24,170.69,172.2,168.37,169.9,13081619,0
2026-04-27,170.68,171.49,167.75,169.3,15010298,0
2026-04-28,169.26,172.01,167.01,167.52,17796360,0
2026-04-29,168.35,169.26,165.11,165.73,16722649,0
2026-04-30,164.72,164.72,160.26,162.09,22015141,0
