date,open,high,low,close,volume,oi
2026-02-27,668.2,677.05,648.8,654.5,2231900,0
2026-03-02,647.5,659.25,646.35,653.55,346748,0
2026-03-04,647.0,650.0,624.0,625.75,888511,0
2026-03-05,626.75,631.7,617.75,627.45,551177,0
2026-03-06,620.75,624.4,610.1,614.05,901309,0
2026-03-09,610.0,610.0,552.65,601.55,1356677,0
2026-03-10,617.65,617.65,599.5,601.65,970178,0
2026-03-11,602.0,604.2,591.35,598.5,1294420,0
2026-03-12,592.0,596.65,583.15,592.95,949805,0
2026-03-13,586.0,591.4,580.1,583.75,1483478,0
2026-03-16,580.0,589.15,578.0,583.9,1391776,0
2026-03-17,583.0,601.1,581.3,592.45,633223,0
2026-03-18,593.05,596.5,586.25,588.7,877529,0
2026-03-19,583.3,585.45,560.6,562.9,1577922,0
2026-03-20,563.0,566.6,548.0,552.1,1215752,0
2026-03-23,545.0,550.05,528.9,531.25,1050325,0
2026-03-24,539.95,542.9,525.0,537.5,1014760,0
2026-03-25,537.0,551.75,537.0,540.6,1901427,0
2026-03-27,537.0,537.9,526.2,530.4,1288429,0
2026-03-30,526.05,526.05,506.2,509.55,2513860,0
2026-04-01,516.9,531.8,510.75,513.35,2104697,0
2026-04-02,507.0,508.95,491.45,503.4,1445464,0
2026-04-06,508.0,514.55,500.0,513.1,823182,0
2026-04-07,508.0,517.75,504.0,516.65,584434,0
2026-04-08,541.0,546.35,532.5,541.6,827961,0
2026-04-09,541.6,553.0,536.0,541.95,1099198,0
2026-04-10,549.4,552.85,540.9,547.0,870880,0
2026-04-13,545.8,549.0,531.35,546.5,970319,0
2026-04-15,578.0,584.75,556.9,561.25,9213655,0
2026-04-16,564.05,573.0,554.25,557.95,3015840,0
2026-04-17,556.95,563.9,548.0,562.0,3333771,0
2026-04-20,562.0,562.65,549.8,557.9,1615514,0
2026-04-21,560.0,565.0,541.25,550.1,2038706,0
2026-04-22,550.0,554.4,537.0,540.05,1530498,0
2026-04-23,535.0,538.0,530.0,535.3,1109222,0
2026-04-24,534.2,534.95,511.5,514.2,1474411,0
2026-04-27,515.0,523.75,512.05,519.6,1089176,0
2026-04-28,520.0,522.4,511.75,520.55,1284261,0
2026-04-29,522.0,530.4,522.0,524.35,567464,0
2026-04-30,524.0,529.7,512.6,513.85,1123792,0
2026-05-04,519.35,538.35,516.25,535.55,1731763,0
2026-05-05,535.9,540.7,528.8,537.35,824889,0
2026-05-06,541.0,551.95,538.55,550.1,1034450,0
2026-05-07,553.0,568.8,550.35,562.9,2640252,0
2026-05-08,565.95,572.0,557.85,567.25,1641427,0
2026-05-11,567.25,570.4,557.05,565.6,1225164,0
2026-05-12,559.25,563.7,539.75,541.5,629492,0
2026-05-13,541.5,548.95,540.45,542.5,478716,0
2026-05-14,542.65,550.75,539.0,541.7,719261,0
2026-05-15,543.95,547.5,534.0,535.6,481647,0
2026-05-18,507.95,520.8,488.6,515.4,6777357,0
2026-05-19,515.4,526.45,515.4,522.15,3447305,0
2026-05-20,520.0,520.0,506.1,509.25,2263722,0
2026-05-21,513.45,517.9,507.75,510.1,1474562,0
2026-05-22,512.25,520.95,511.05,520.05,2134922,0
2026-05-25,525.0,528.85,522.6,526.7,1019989,0
2026-05-26,529.3,529.3,518.7,522.7,710898,0
2026-05-27,525.0,529.0,517.0,522.9,877650,0
2026-05-29,525.0,525.75,498.25,503.95,6149632,0
2026-06-01,506.95,511.5,487.25,488.6,2321218,0
2026-06-02,486.0,486.65,474.5,482.45,3009979,0
2026-06-03,483.0,483.05,473.05,476.9,856884,0
2026-06-04,475.0,478.9,473.15,477.1,1063913,0
2026-06-05,479.05,490.4,477.25,483.25,1629387,0
2026-06-08,480.8,482.35,473.05,475.4,1474030,0
2026-06-09,481.65,482.75,473.4,474.75,804767,0
2026-06-10,476.0,478.45,464.55,465.8,657078,0
2026-06-11,465.4,466.35,459.5,460.4,1358506,0
2026-06-12,465.1,469.95,462.15,468.15,887258,0
2026-06-15,480.0,490.5,475.65,486.15,1669606,0
2026-06-16,486.95,492.5,482.75,490.35,1784016,0
2026-06-17,493.6,505.35,490.4,503.65,2428711,0
2026-06-18,506.8,523.9,502.95,522.1,2836263,0
2026-06-19,518.0,522.55,498.35,500.3,3733720,0
2026-06-22,503.0,510.6,502.0,506.3,3301597,0
2026-06-23,506.35,513.8,496.95,498.6,2076310,0
2026-06-24,498.0,500.1,493.95,496.35,631397,0
2026-06-25,499.5,502.1,490.0,491.05,915842,0
2026-06-29,491.05,497.4,487.1,489.5,1400552,0
2026-06-30,490.65,492.4,480.9,487.95,1715722,0
2026-07-01,491.0,494.9,487.0,492.95,825598,0
2026-07-02,496.9,497.25,493.0,495.95,402343,0
2026-07-03,496.95,500.45,483.7,485.25,2883216,0
2026-07-06,489.75,492.3,481.15,485.1,1017248,0
2026-07-07,486.75,493.7,483.6,487.85,1372091,0
2026-07-08,485.4,493.6,478.85,480.05,1770683,0
2026-07-09,481.0,492.4,481.0,490.7,572357,0
2026-07-10,492.0,515.5,491.95,510.35,2917046,0
2026-07-13,510.0,527.5,506.5,519.7,2214317,0
